ID	d1	Topic	d1	Telugu	d1	English	d1	Clue	d1	Image	d1	Sound
124	|	Animals_3	|	చిరుత పులి 	|	panther	|	చిరుత పులి_క్లూ	|	panther.jpg	|	panther.wav
125	|	Animals_3	|	రామ చిలుక 	|	parrot	|	రామ చిలుక_క్లూ	|	parrot.jpg	|	parrot.wav
126	|	Animals_3	|	కౌజు పిట్ట	|	partridge	|	కౌజు పిట్ట_క్లూ	|	partridge.jpg	|	partridge.wav
127	|	Animals_3	|	కౌజు పిట్ట 	|	patridge	|	కౌజు పిట్ట_క్లూ	|	patridge.jpg	|	patridge.wav
128	|	Animals_3	|	నెమలి 	|	peacock	|	నెమలి_క్లూ	|	peacock.jpg	|	peacock.wav
129	|	Animals_3	|	 గూడ కొంగ	|	pelican 	|	 గూడ కొంగ_క్లూ	|	pelican .jpg	|	pelican .wav
130	|	Animals_3	|	పె౦గ్విను	|	penguin	|	పె౦గ్విను_క్లూ	|	penguin.jpg	|	penguin.wav
131	|	Animals_3	|	తీతువు పిట్ట	|	pewit	|	తీతువు పిట్ట_క్లూ	|	pewit.jpg	|	pewit.wav
132	|	Animals_3	|	పావురము 	|	pigeon	|	పావురము_క్లూ	|	pigeon.jpg	|	pigeon.wav
133	|	Animals_3	|	పంది  పిల్ల 	|	piglet	|	పంది  పిల్ల_క్లూ	|	piglet.jpg	|	piglet.wav
134	|	Animals_3	|	చిన్న గుర్రము 	|	pony	|	చిన్న గుర్రము_క్లూ	|	pony.jpg	|	pony.wav
135	|	Animals_3	|	ముళ్ళ పంది	|	porcupine	|	ముళ్ళ పంది_క్లూ	|	porcupine.jpg	|	porcupine.wav
136	|	Animals_3	|	ముళ్ళ పంది 	|	porcupine	|	ముళ్ళ పంది_క్లూ	|	porcupine.jpg	|	porcupine.wav
137	|	Animals_3	|	చిరుత పులి  	|	puma	|	చిరుత పులి _క్లూ	|	puma.jpg	|	puma.wav
138	|	Animals_3	|	కుక్క పిల్ల 	|	puppy	|	కుక్క పిల్ల_క్లూ	|	puppy.jpg	|	puppy.wav
139	|	Animals_3	|	కొండ చిలువ 	|	python	|	కొండ చిలువ_క్లూ	|	python.jpg	|	python.wav
140	|	Animals_3	|	కోలంకి పిట్ట	|	quail	|	కోలంకి పిట్ట_క్లూ	|	quail.jpg	|	quail.wav
141	|	Animals_3	|	సీమ కుందేలు 	|	rabbit	|	సీమ కుందేలు_క్లూ	|	rabbit.jpg	|	rabbit.wav
142	|	Animals_3	|	పొట్టేలు 	|	ram	|	పొట్టేలు_క్లూ	|	ram.jpg	|	ram.wav
143	|	Animals_3	|	పొట్టేలు	|	ram	|	పొట్టేలు_క్లూ	|	ram.jpg	|	ram.wav
144	|	Animals_3	|	ఎలుక 	|	rat	|	ఎలుక_క్లూ	|	rat.jpg	|	rat.wav
145	|	Animals_3	|	గిలక పాము	|	rattle snake	|	గిలక పాము_క్లూ	|	rattle snake.jpg	|	rattle snake.wav
146	|	Animals_3	|	ఖడ్గ మృగము 	|	rhinoceros	|	ఖడ్గ మృగము_క్లూ	|	rhinoceros.jpg	|	rhinoceros.wav
147	|	Animals_3	|	నల్లి కండ్ల పాము	|	salamandar	|	నల్లి కండ్ల పాము_క్లూ	|	salamandar.jpg	|	salamandar.wav
148	|	Animals_3	|	తేలు	|	scorpion	|	తేలు_క్లూ	|	scorpion.jpg	|	scorpion.wav
149	|	Animals_3	|	నీటి గుర్రము	|	sea horse	|	నీటి గుర్రము_క్లూ	|	sea horse.jpg	|	sea horse.wav
150	|	Animals_3	|	నీటి సింహము 	|	sea lion	|	నీటి సింహము_క్లూ	|	sea lion.jpg	|	sea lion.wav
151	|	Animals_4	|	సముద్రపు పక్షి 	|	seagull	|	సముద్రపు పక్షి_క్లూ	|	seagull.jpg	|	seagull.wav
152	|	Animals_4	|	సొర పొట్టు 	|	shark	|	సొర పొట్టు_క్లూ	|	shark.jpg	|	shark.wav
153	|	Animals_4	|	గొర్రె 	|	sheep	|	గొర్రె_క్లూ	|	sheep.jpg	|	sheep.wav
154	|	Animals_4	|	రొయ్య	|	shrimp	|	రొయ్య_క్లూ	|	shrimp.jpg	|	shrimp.wav
155	|	Animals_4	|	పట్టు పురుగు 	|	silk worm	|	పట్టు పురుగు_క్లూ	|	silk worm.jpg	|	silk worm.wav
156	|	Animals_4	|	దేవాంగ పిల్లి 	|	sloth	|	దేవాంగ పిల్లి_క్లూ	|	sloth.jpg	|	sloth.wav
157	|	Animals_4	|	నత్త	|	snail	|	నత్త_క్లూ	|	snail.jpg	|	snail.wav
158	|	Animals_4	|	పాము 	|	snake	|	పాము_క్లూ	|	snake.jpg	|	snake.wav
159	|	Animals_4	|	ఉల్లంగి పిట్ట	|	snipe	|	ఉల్లంగి పిట్ట_క్లూ	|	snipe.jpg	|	snipe.wav
160	|	Animals_4	|	ఆడ పంది 	|	sow	|	ఆడ పంది_క్లూ	|	sow.jpg	|	sow.wav
161	|	Animals_4	|	పిచ్చుక 	|	sparrow	|	పిచ్చుక_క్లూ	|	sparrow.jpg	|	sparrow.wav
162	|	Animals_4	|	సాలీడు 	|	spider	|	సాలీడు_క్లూ	|	spider.jpg	|	spider.wav
163	|	Animals_4	|	తెడ్డు మూతి కొంగ	|	spoonbill	|	తెడ్డు మూతి కొంగ_క్లూ	|	spoonbill.jpg	|	spoonbill.wav
164	|	Animals_4	|	ఉడుత 	|	squirrel	|	ఉడుత_క్లూ	|	squirrel.jpg	|	squirrel.wav
165	|	Animals_4	|	జింక 	|	stag	|	జింక_క్లూ	|	stag.jpg	|	stag.wav
166	|	Animals_4	|	దుప్పి	|	stag	|	దుప్పి_క్లూ	|	stag.jpg	|	stag.wav
167	|	Animals_4	|	మగ గుర్రము 	|	stallion	|	మగ గుర్రము_క్లూ	|	stallion.jpg	|	stallion.wav
168	|	Animals_4	|	కొంగ 	|	stork	|	కొంగ_క్లూ	|	stork.jpg	|	stork.wav
169	|	Animals_4	|	వాన కోయిల	|	swallow	|	వాన కోయిల_క్లూ	|	swallow.jpg	|	swallow.wav
170	|	Animals_4	|	హంస 	|	swan	|	హంస_క్లూ	|	swan.jpg	|	swan.wav
171	|	Animals_4	|	పంది	|	swine	|	పంది_క్లూ	|	swine.jpg	|	swine.wav
172	|	Animals_4	|	కప్పు పిల్ల 	|	tadpole	|	కప్పు పిల్ల_క్లూ	|	tadpole.jpg	|	tadpole.wav
173	|	Animals_4	|	పులి 	|	tiger	|	పులి_క్లూ	|	tiger.jpg	|	tiger.wav
174	|	Animals_4	|	గోoడ్రు కప్పు 	|	toad	|	గోoడ్రు కప్పు_క్లూ	|	toad.jpg	|	toad.wav
175	|	Animals_4	|	తాబేలు 	|	tortoise	|	తాబేలు_క్లూ	|	tortoise.jpg	|	tortoise.wav
176	|	Animals_4	|	గిన్నె కోడి	|	turkey	|	గిన్నె కోడి_క్లూ	|	turkey.jpg	|	turkey.wav
177	|	Animals_4	|	కట్ల పాము 	|	viper	|	కట్ల పాము_క్లూ	|	viper.jpg	|	viper.wav
178	|	Animals_4	|	రాబందు 	|	vulture	|	రాబందు_క్లూ	|	vulture.jpg	|	vulture.wav
179	|	Animals_4	|	మ౦ద పిచ్చుక	|	wagtail	|	మ౦ద పిచ్చుక_క్లూ	|	wagtail.jpg	|	wagtail.wav
180	|	Animals_4	|	నీటి ఏనుగు 	|	walrus	|	నీటి ఏనుగు_క్లూ	|	walrus.jpg	|	walrus.wav
181	|	Animals_4	|	కందిరీగ	|	wasp	|	కందిరీగ_క్లూ	|	wasp.jpg	|	wasp.wav
182	|	Animals_4	|	గిజిగాడి పిట్ట	|	weaver bird	|	గిజిగాడి పిట్ట_క్లూ	|	weaver bird.jpg	|	weaver bird.wav
183	|	Animals_4	|	తిమింగలము 	|	whale	|	తిమింగలము_క్లూ	|	whale.jpg	|	whale.wav
184	|	Animals_4	|	జెర్రి పోతు	|	whip snake	|	జెర్రి పోతు_క్లూ	|	whip snake.jpg	|	whip snake.wav
185	|	Animals_4	|	తెల్ల పులి	|	white tiger	|	తెల్ల పులి_క్లూ	|	white tiger.jpg	|	white tiger.wav
186	|	Animals_4	|	అడవి పంది	|	wild boar	|	అడవి పంది_క్లూ	|	wild boar.jpg	|	wild boar.wav
187	|	Animals_4	|	తోడేలు	|	wolf	|	తోడేలు_క్లూ	|	wolf.jpg	|	wolf.wav
188	|	Animals_4	|	లకుముకి పిట్ట	|	woodpecker	|	లకుముకి పిట్ట_క్లూ	|	woodpecker.jpg	|	woodpecker.wav
189	|	Animals_4	|	జడల బర్రె 	|	yak	|	జడల బర్రె_క్లూ	|	yak.jpg	|	yak.wav
190	|	Animals_4	|	కంచర గాడిద 	|	zebra	|	కంచర గాడిద_క్లూ	|	zebra.jpg	|	zebra.wav
191	|	US Presidents	|	జాచేరీ టేలర్ 	|	Zachary Taylor	|		|		|	
192	|	US Presidents	|	వుడ్రో విల్సన్ 	|	Woodrow Wilson	|		|		|	
193	|	US Presidents	|	విలియం మెక్కిన్లీ 	|	William McKinley	|		|		|	
194	|	US Presidents	|	విలియం హోవార్డ్ టఫ్ట్ 	|	William Howard Taft	|		|		|	
195	|	US Presidents	|	విలియం హెన్రీ హారిసన్ 	|	William Henry Harrison	|		|		|	
196	|	US Presidents	|	వారెన్ G. హార్డింగ్ 	|	Warren G. Harding	|		|		|	
197	|	US Presidents	|	యులిసస్ S. గ్రాంట్ 	|	Ulysses S. Grant	|		|		|	
198	|	US Presidents	|	థామస్ జెఫెర్సన్ 	|	Thomas Jefferson	|		|		|	
199	|	US Presidents	|	థియోడర్ రూజ్వెల్ట్ 	|	Theodore Roosevelt	|		|		|	
200	|	US Presidents	|	రూథర్ఫోర్డ్ B. హాయెస్ 	|	Rutherford B. Hayes	|		|		|	
201	|	US Presidents	|	రోనాల్డ్ రీగన్ 	|	Ronald Reagan	|		|		|	
202	|	US Presidents	|	రిచర్డ్ M. నిక్సన్ 	|	Richard M. Nixon	|		|		|	
203	|	US Presidents	|	మిల్లర్డ్ ఫిల్మోర్ 	|	Millard Fillmore	|		|		|	
204	|	US Presidents	|	మార్టిన్ వన్ బ్యురెన్ 	|	Martin Van Buren 	|		|		|	
205	|	US Presidents	|	లిండన్ B. జాన్సన్ 	|	Lyndon B. Johnson	|		|		|	
206	|	US Presidents	|	జాన్ టైలర్ 	|	John Tyler	|		|		|	
207	|	US Presidents	|	జాన్ క్విన్సీ ఆడమ్స్ 	|	John Quincy Adams	|		|		|	
208	|	US Presidents	|	జాన్ F. కెన్నెడీ 	|	John F. Kennedy	|		|		|	
209	|	US Presidents	|	జాన్ ఆడమ్స్ 	|	John Adams	|		|		|	
210	|	US Presidents	|	జిమ్మీ కార్టర్ 	|	Jimmy Carter	|		|		|	
211	|	US Presidents	|	జేమ్స్ మన్రో 	|	James Monroe	|		|		|	
212	|	US Presidents	|	జేమ్స్ మాడిసన్ 	|	James Madison	|		|		|	
213	|	US Presidents	|	జేమ్స్ K. పోల్క్ 	|	James K. Polk	|		|		|	
214	|	US Presidents	|	జేమ్స్ బుకానన్ 	|	James Buchanan	|		|		|	
215	|	US Presidents	|	జేమ్స్ A. గార్ఫీల్డ్ 	|	James A. Garfield	|		|		|	
216	|	US Presidents	|	హెర్బర్ట్ హూవేర్ 	|	Herbert Hoover	|		|		|	
217	|	US Presidents	|	హారీ S. ట్రూమాన్ 	|	Harry S. Truman	|		|		|	
218	|	US Presidents	|	గ్రోవర్ క్లీవ్లాండ్ 	|	Grover Cleveland	|		|		|	
219	|	US Presidents	|	గ్రోవర్ క్లీవ్లాండ్ 	|	Grover Cleveland	|		|		|	
220	|	US Presidents	|	గెరాల్డ్ ఫోర్డ్ 	|	Gerald Ford	|		|		|	
221	|	US Presidents	|	జార్జ్ వాషింగ్టన్ 	|	George Washington	|		|		|	
222	|	US Presidents	|	జార్జ్ W. బుష్ 	|	George W. Bush	|		|		|	
223	|	US Presidents	|	జార్జ్ బుష్ 	|	George Bush	|		|		|	
